question_id,query,n_gold,gold_chunk_ids,retrieved_chunk_ids,retrieved_titles,retrieved_scores,matched_gold_chunk_ids,hit_at_k,recall_at_k,precision_at_k,mrr_at_k,first_hit_rank,topic,hotpot_type,level,expected_answer,original_question
hotpotqa_mini_0010,Were Scott Derrickson and Ed Wood of the same nationality?,2,hotpotqa_mini_0010_chunk_01|hotpotqa_mini_0010_chunk_04,hotpotqa_mini_0010_chunk_04|hotpotqa_mini_0010_chunk_00|hotpotqa_mini_0010_chunk_06|hotpotqa_mini_0008_chunk_09|hotpotqa_mini_0008_chunk_05|hotpotqa_mini_0010_chunk_08|hotpotqa_mini_0010_chunk_02|hotpotqa_mini_0010_chunk_01,"Ed Wood|Ed Wood (film)|Adam Collis|Robert Barton|Robert Caesar Childers|Conrad Brooks|Woodson, Arkansas|Scott Derrickson",0.512322|0.459341|0.309698|0.302638|0.286573|0.275916|0.275133|0.260939,hotpotqa_mini_0010_chunk_01|hotpotqa_mini_0010_chunk_04,True,1.0,0.25,1.0,1,entertainment,comparison,hard,yes,Were Scott Derrickson and Ed Wood of the same nationality?
hotpotqa_mini_0011,What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,2,hotpotqa_mini_0011_chunk_01|hotpotqa_mini_0011_chunk_06,hotpotqa_mini_0011_chunk_06|hotpotqa_mini_0011_chunk_05|hotpotqa_mini_0011_chunk_03|hotpotqa_mini_0011_chunk_02|hotpotqa_mini_0011_chunk_00|hotpotqa_mini_0011_chunk_01|hotpotqa_mini_0001_chunk_02|hotpotqa_mini_0016_chunk_09,Kiss and Tell (1945 film)|A Kiss for Corliss|Meet Corliss Archer (TV series)|Janet Waldo|Meet Corliss Archer|Shirley Temple|Nola (film)|Get Christie Love!,0.675512|0.562415|0.527208|0.399974|0.366413|0.299175|0.248491|0.224456,hotpotqa_mini_0011_chunk_01|hotpotqa_mini_0011_chunk_06,True,1.0,0.25,1.0,1,entertainment,bridge,hard,Chief of Protocol,What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?
hotpotqa_mini_0012,"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?",2,hotpotqa_mini_0012_chunk_02|hotpotqa_mini_0012_chunk_08,hotpotqa_mini_0012_chunk_08|hotpotqa_mini_0012_chunk_01|hotpotqa_mini_0012_chunk_02|hotpotqa_mini_0012_chunk_00|hotpotqa_mini_0012_chunk_06|hotpotqa_mini_0012_chunk_05|hotpotqa_mini_0015_chunk_03|hotpotqa_mini_0012_chunk_04,Animorphs|Victoria Hanley|The Hork-Bajir Chronicles|Andre Norton Award|The Divide trilogy|List of Square Enix companion books|David Weissman|Left Behind: The Kids,0.456662|0.443040|0.429764|0.410766|0.403676|0.342900|0.339032|0.325335,hotpotqa_mini_0012_chunk_02|hotpotqa_mini_0012_chunk_08,True,1.0,0.25,1.0,1,entertainment,bridge,hard,Animorphs,"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?"
hotpotqa_mini_0013,2014 S/S is the debut album of a South Korean boy group that was formed by who?,2,hotpotqa_mini_0013_chunk_02|hotpotqa_mini_0013_chunk_04,hotpotqa_mini_0013_chunk_02|hotpotqa_mini_0013_chunk_09|hotpotqa_mini_0013_chunk_08|hotpotqa_mini_0013_chunk_00|hotpotqa_mini_0013_chunk_03|hotpotqa_mini_0013_chunk_01|hotpotqa_mini_0013_chunk_05|hotpotqa_mini_0013_chunk_04,2014 S/S|BTS discography|Seventeen discography|List of awards and nominations received by Shinee|History (band)|Cho Kyuhyun|Madtown|Winner (band),0.857720|0.612854|0.549344|0.506460|0.501820|0.483038|0.477066|0.475480,hotpotqa_mini_0013_chunk_02|hotpotqa_mini_0013_chunk_04,True,1.0,0.25,1.0,1,entertainment,bridge,hard,YG Entertainment,2014 S/S is the debut album of a South Korean boy group that was formed by who?
hotpotqa_mini_0014,"Who is older, Annie Morton or Terry Richardson?",2,hotpotqa_mini_0014_chunk_00|hotpotqa_mini_0014_chunk_02,hotpotqa_mini_0014_chunk_09|hotpotqa_mini_0014_chunk_00|hotpotqa_mini_0014_chunk_03|hotpotqa_mini_0008_chunk_04|hotpotqa_mini_0008_chunk_03|hotpotqa_mini_0014_chunk_02|hotpotqa_mini_0000_chunk_03|hotpotqa_mini_0014_chunk_01,Kenton Richardson|Annie Morton|Lady Gaga x Terry Richardson|Gretchen Osgood Warren|Molly Childers|Terry Richardson|Esma Sultan (daughter of Abdul Hamid I)|Madonna (book),0.424369|0.408363|0.370277|0.328497|0.314375|0.293388|0.243651|0.240907,hotpotqa_mini_0014_chunk_00|hotpotqa_mini_0014_chunk_02,True,1.0,0.25,0.5,2,entertainment,bridge,hard,Terry Richardson,"Who is older, Annie Morton or Terry Richardson?"
hotpotqa_mini_0015,"What screenwriter with credits for ""Evolution"" co-wrote a film starring Nicolas Cage and Téa Leoni?",2,hotpotqa_mini_0015_chunk_03|hotpotqa_mini_0015_chunk_09,hotpotqa_mini_0015_chunk_03|hotpotqa_mini_0015_chunk_09|hotpotqa_mini_0015_chunk_02|hotpotqa_mini_0015_chunk_06|hotpotqa_mini_0015_chunk_04|hotpotqa_mini_0018_chunk_05|hotpotqa_mini_0010_chunk_00|hotpotqa_mini_0010_chunk_04,David Weissman|The Family Man|Time to Kill (1989 film)|Drive Angry|Deadfall (1993 film)|Jim Cummings|Ed Wood (film)|Ed Wood,0.555107|0.467785|0.413668|0.398112|0.397352|0.371995|0.368369|0.363964,hotpotqa_mini_0015_chunk_03|hotpotqa_mini_0015_chunk_09,True,1.0,0.25,1.0,1,entertainment,bridge,hard,David Weissman,"What screenwriter with credits for ""Evolution"" co-wrote a film starring Nicolas Cage and Téa Leoni?"
hotpotqa_mini_0016,What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,2,hotpotqa_mini_0016_chunk_07|hotpotqa_mini_0016_chunk_08,hotpotqa_mini_0016_chunk_01|hotpotqa_mini_0016_chunk_00|hotpotqa_mini_0016_chunk_03|hotpotqa_mini_0016_chunk_08|hotpotqa_mini_0016_chunk_06|hotpotqa_mini_0015_chunk_06|hotpotqa_mini_0016_chunk_05|hotpotqa_mini_0015_chunk_00,Guns N' Roses discography|Arnold Schwarzenegger filmography|Steven Adler|Oh My God (Guns N' Roses song)|Last Action Hero|Drive Angry|True Lies|Ungod,0.523871|0.501343|0.472705|0.389173|0.380354|0.340150|0.318439|0.294742,hotpotqa_mini_0016_chunk_08,True,0.5,0.125,0.25,4,entertainment,bridge,hard,1999,What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?
hotpotqa_mini_0017,Are Giuseppe Verdi and Ambroise Thomas both Opera composers ?,2,hotpotqa_mini_0017_chunk_03|hotpotqa_mini_0017_chunk_05,hotpotqa_mini_0017_chunk_03|hotpotqa_mini_0017_chunk_05|hotpotqa_mini_0017_chunk_01|hotpotqa_mini_0017_chunk_08|hotpotqa_mini_0017_chunk_07|hotpotqa_mini_0017_chunk_09|hotpotqa_mini_0017_chunk_04|hotpotqa_mini_0017_chunk_06,"Giuseppe Verdi|Ambroise Thomas|Giuseppe Verdi (film)|List of major opera composers|Ferdinando Provesi|Verdi, the King of Melody|Teatro Giuseppe Verdi|Armand Castelmary",0.626479|0.571273|0.520919|0.507068|0.499746|0.495300|0.449793|0.427125,hotpotqa_mini_0017_chunk_03|hotpotqa_mini_0017_chunk_05,True,1.0,0.25,1.0,1,entertainment,comparison,hard,yes,Are Giuseppe Verdi and Ambroise Thomas both Opera composers ?
hotpotqa_mini_0018,This singer of A Rather Blustery Day also voiced what hedgehog?,2,hotpotqa_mini_0018_chunk_05|hotpotqa_mini_0018_chunk_08,hotpotqa_mini_0018_chunk_05|hotpotqa_mini_0018_chunk_03|hotpotqa_mini_0018_chunk_08|hotpotqa_mini_0018_chunk_07|hotpotqa_mini_0018_chunk_01|hotpotqa_mini_0018_chunk_00|hotpotqa_mini_0019_chunk_01|hotpotqa_mini_0018_chunk_06,Jim Cummings|Kate Higgins|A Rather Blustery Day|Winnie the Pooh and the Blustery Day|Heffalumps and Woozles|Hip Hip Pooh-Ray!|Tom Rothrock|The Rain Rain Rain Came Down Down Down,0.549873|0.456876|0.428137|0.366261|0.355734|0.306453|0.287717|0.285365,hotpotqa_mini_0018_chunk_05|hotpotqa_mini_0018_chunk_08,True,1.0,0.25,1.0,1,entertainment,bridge,hard,Sonic,This singer of A Rather Blustery Day also voiced what hedgehog?
hotpotqa_mini_0019,"Which performance act has a higher instrument to person ratio, Badly Drawn Boy or Wolf Alice?",2,hotpotqa_mini_0019_chunk_00|hotpotqa_mini_0019_chunk_06,hotpotqa_mini_0019_chunk_00|hotpotqa_mini_0019_chunk_07|hotpotqa_mini_0019_chunk_02|hotpotqa_mini_0019_chunk_06|hotpotqa_mini_0019_chunk_08|hotpotqa_mini_0019_chunk_09|hotpotqa_mini_0013_chunk_04|hotpotqa_mini_0019_chunk_04,Wolf Alice|The Hour of Bewilderbeast|Badly Drawn Boy discography|Badly Drawn Boy|About a Boy (soundtrack)|Under an Hour|Winner (band)|About a Boy (film),0.345747|0.305418|0.305003|0.284391|0.284338|0.242751|0.194283|0.192799,hotpotqa_mini_0019_chunk_00|hotpotqa_mini_0019_chunk_06,True,1.0,0.25,1.0,1,entertainment,comparison,hard,Badly Drawn Boy,"Which performance act has a higher instrument to person ratio, Badly Drawn Boy or Wolf Alice?"
